Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g7836.t1	16.866	8.76662	22.0356	10.717	17.0708	16.7346	4.25046	5.34508
g10669.t1	11.3123	5.87845	12.1575	19.0029	12.2648	9.57059	2.10739	2.25809
g3749.t1	13.4945	7.01066	8.48988	10.2309	11.2367	11.5254	5.84368	13.2311
g3823.t1	10.1162	5.25473	5.71882	7.28196	16.493	21.4104	9.26193	3.97282
g1805.t1	11.4718	5.95831	9.02614	8.30412	8.72651	13.8772	2.12727	6.45925
g6135.t1	30.4401	15.8101	42.3961	50.0107	28.0343	20.9466	55.4615	34.6095
g3314.t1	21.3297	11.0735	10.4537	29.3576	24.4383	27.7966	17.5809	4.6674
g7113.t1	7.91918	4.10965	3.84212	4.48872	5.5963	7.98562	0	1.18536
g4226.t1	7.17501	3.72215	6.44716	15.5521	12.4216	11.5634	8.81186	2.78477
g8038.t1	9.69606	5.02994	10.2221	8.09313	10.9074	16.6297	3.11731	3.93148
g6081.t1	12.3584	6.38013	7.46998	14.7801	10.724	11.732	7.87422	3.57542
g7059.t1	19.0016	9.85283	16.7325	33.4903	12.5159	20.0359	12.0722	16.9665
g7442.t1	6.99013	3.62413	6.64563	9.12469	7.87256	7.24546	6.18387	9.32246
g5880.t1	23.26	12.0578	18.2311	12.6545	28.6288	22.3466	22.0715	20.3856
g3895.t1	8.94393	4.63372	6.91126	11.1254	10.4858	5.96194	3.48582	2.14068
g5348.t1	4.7203	2.44512	11.7072	4.08242	9.62205	12.5429	2.07811	4.32785
g9880.t1	18.6352	9.65288	14.5196	0.680747	12.534	11.1803	3.90744	15.2604
g3213.t1	0.838183	0.434151	11.3489	0	11.0447	9.10898	2.41503	4.13328
g3201.t1	12.678	6.56641	7.91125	19.4075	9.69609	9.93394	41.7093	9.90887
g10742.t1	10.7972	5.59196	4.15621	5.85653	6.42918	8.41856	3.58502	3.15412
g6442.t1	6.43368	3.33164	4.31087	3.66915	4.06778	7.81909	1.34055	3.24883
g3492.t1	5.3502	2.77042	3.10728	2.66242	5.75816	6.33143	0.292365	5.08361
g6148.t1	9.35034	4.84104	6.73804	2.84501	9.55067	7.31127	2.18352	1.79862
g2191.t1	3.37467	1.74695	3.00872	7.79406	2.51677	1.29782	5.74411	0.951206
